,City,Latitude,Longityde,Date,Max Temp,Humidity,Cloudiness,Wind Speed,Country
54,Ushuaia,-54.8,-68.3,1604782145,60.8,41,75,12.75,AR
55,Codrington,-38.27,141.97,1604782190,46.54,86,4,5.53,AU
56,Lucapa,-8.42,20.74,1604782235,67.37,98,100,3.51,AO
57,Bathsheba,13.22,-59.52,1604781417,82.4,83,40,17.22,BB
58,Clyde River,70.47,-68.59,1604782146,-5.8,83,20,4.7,CA
59,Saint-Philippe,-21.36,55.77,1604782235,71.6,78,0,6.93,RE
60,Patos,-7.02,-37.28,1604782236,90.9,34,28,17.2,BR
61,Ribeira Grande,38.52,-28.7,1604782151,59.0,82,40,10.29,PT
62,Luján,-34.57,-59.1,1604782236,80.01,49,31,4.0,AR
63,Bandarbeyla,9.49,50.81,1604782209,76.21,85,66,14.47,SO
64,Waiuku,-37.25,174.75,1604782236,68.0,72,93,17.22,NZ
65,Chui,-33.7,-53.46,1604781555,65.88,78,12,10.6,UY
66,Tiznit Province,29.58,-9.5,1604782236,63.39,68,17,0.98,MA
67,Hambantota,6.12,81.12,1604782168,79.14,81,0,9.75,LK
68,Bayjī,34.93,43.49,1604782236,68.47,44,6,6.11,IQ
69,Port Macquarie,-31.43,152.92,1604781542,63.0,65,49,1.99,AU
70,Pisco,-13.7,-76.22,1604782181,66.99,82,90,6.93,PE
71,Saskylakh,71.92,114.08,1604782158,-8.66,89,3,7.34,RU
72,Grand Gaube,-20.01,57.66,1604782201,71.01,76,26,3.0,MU
73,Otradnoye,59.78,30.82,1604782237,46.99,90,99,4.0,RU
74,Hithadhoo,-0.6,73.08,1604781488,82.87,74,89,9.75,MV
75,Campbell River,50.02,-125.24,1604782108,46.4,45,20,14.99,CA
76,Genhe,50.78,121.52,1604782237,5.45,92,63,3.69,CN
77,La Asuncion,11.03,-63.86,1604782238,98.6,47,44,12.75,VE
78,Bonavista,48.65,-53.11,1604782238,44.01,93,100,10.29,CA
79,Stepnogorsk,52.35,71.89,1604782238,42.78,68,100,20.69,KZ
80,Vila Velha,-20.33,-40.29,1604782068,77.0,78,75,6.93,BR
81,Vaini,-21.2,-175.2,1604782157,78.8,74,20,6.93,TO
82,Thinadhoo,0.53,72.93,1604782238,83.71,72,94,8.81,MV
83,Tura,25.52,90.22,1604782238,64.6,89,0,4.54,IN
84,Aracati,-4.56,-37.77,1604782239,81.39,69,8,14.54,BR
85,Chute-aux-Outardes,49.12,-68.4,1604782239,37.4,55,90,6.93,CA
86,Dongsheng,39.82,109.98,1604782239,30.16,75,0,5.37,CN
87,Inhambane,-23.86,35.38,1604781700,78.21,77,12,10.04,MZ
88,Tocok,15.75,120.3,1604782239,77.0,88,90,9.17,PH
89,Hilo,19.73,-155.09,1604782239,80.6,69,90,6.93,US
90,Nagorsk,59.32,50.81,1604782239,33.89,91,93,7.87,RU
91,Cururupu,-1.83,-44.87,1604782240,80.82,76,96,4.92,BR
92,Kiruna,67.86,20.23,1604782240,32.0,89,0,19.46,SE
93,Jamestown,42.1,-79.24,1604782098,68.0,34,1,5.82,US
94,Vestmannaeyjar,63.44,-20.27,1604781748,45.43,74,100,19.98,IS
95,Leshukonskoye,64.9,45.76,1604782240,32.63,97,100,6.89,RU
96,Qaanaaq,77.48,-69.36,1604782240,-13.31,71,0,8.39,GL
97,Margate,51.38,1.39,1604782176,54.0,91,31,1.99,GB
98,Khanbari,27.37,87.2,1604782240,58.82,57,0,3.02,NP
99,Airai,-8.93,125.41,1604781647,62.82,56,90,2.24,TL
100,Gizo Government Station,-8.1,156.84,1604782241,83.32,74,29,7.09,SB
101,Khatanga,71.97,102.5,1604781492,-4.34,87,9,12.75,RU
102,Chumikan,54.72,135.31,1604782178,10.0,88,99,12.44,RU
103,Praia,14.92,-23.51,1604782241,78.8,78,0,10.29,CV
104,Butaritari,3.07,172.79,1604782166,81.05,72,100,10.67,KI
105,Mar del Plata,-38.0,-57.56,1604782152,71.6,60,0,3.36,AR
106,Bluff,-46.6,168.33,1604782154,50.0,55,2,10.0,NZ
107,Upernavik,72.79,-56.15,1604782148,-1.19,76,0,7.36,GL
108,Xingyi,24.19,102.82,1604782242,47.48,98,11,3.0,CN
109,Kaitangata,-46.28,169.85,1604782173,51.01,56,95,10.0,NZ
110,Cabo San Lucas,22.89,-109.91,1604782148,84.0,65,40,10.29,MX
111,Port Blair,11.67,92.75,1604781727,80.96,80,0,7.36,IN
112,Fevik,58.38,8.68,1604782242,48.2,76,2,6.93,NO
113,Booué,-0.09,11.94,1604782242,73.62,96,100,3.38,GA
114,Honiara,-9.43,159.95,1604782193,82.4,71,13,3.94,SB
115,São Filipe,14.9,-24.5,1604781738,79.7,76,28,16.06,CV
116,Agüimes,27.91,-15.45,1604782243,69.8,77,75,1.12,ES
117,Āsosa,10.07,34.53,1604782243,63.48,48,98,3.78,ET
118,Siguiri,11.67,-9.5,1604782200,80.65,23,0,2.71,GN
119,Touros,-5.2,-35.46,1604782181,82.4,74,40,12.75,BR
120,Hong Kong,22.29,114.16,1604781455,78.01,57,9,1.99,HK
121,Fairbanks,64.84,-147.72,1604781923,26.01,94,100,3.06,US
122,Omboué,-1.57,9.26,1604782243,77.77,87,75,8.81,GA
123,Sitka,57.05,-135.33,1604782162,35.6,80,40,4.7,US
124,Chokurdakh,70.63,147.92,1604781499,2.44,95,100,5.7,RU
125,Embonas,36.23,27.86,1604782244,68.0,59,0,2.59,GR
126,Banda Aceh,5.56,95.32,1604781414,78.46,79,99,2.37,ID
127,Cidreira,-30.18,-50.21,1604782148,69.04,80,2,14.0,BR
128,Tasiilaq,65.61,-37.64,1604781653,28.4,92,75,9.17,GL
129,Tuatapere,-46.13,167.68,1604782164,50.0,55,39,10.0,NZ
130,Ailigandí,9.23,-78.02,1604782244,84.67,66,14,8.5,PA
131,Northam,51.03,-4.22,1604782244,55.99,94,100,13.09,GB
132,Kalaīkunda,22.35,87.25,1604782244,65.16,53,0,6.51,IN
133,Bambous Virieux,-20.34,57.76,1604781789,73.4,78,40,6.93,MU
134,Evensk,61.95,159.23,1604782245,12.7,90,92,9.86,RU
135,Saint Paul Harbor,57.79,-152.41,1604782245,44.6,75,90,11.41,US
136,Iqaluit,63.75,-68.51,1604782188,10.4,78,75,5.82,CA
137,Jumla,29.27,82.18,1604782162,40.8,54,0,3.42,NP
138,George Town,5.41,100.34,1604781501,78.8,88,40,3.36,MY
139,Hasaki,35.73,140.83,1604781532,57.2,93,75,2.24,JP
140,Patti,31.28,74.86,1604782246,62.6,82,0,2.66,IN
141,Great Yarmouth,52.61,1.73,1604782246,52.0,99,1,9.15,GB
142,Sisimiut,66.94,-53.67,1604782246,15.49,85,99,14.76,GL
143,Vila Franca do Campo,37.72,-25.43,1604782246,59.0,77,20,4.7,PT
144,Kavaratti,10.57,72.64,1604781670,82.98,75,0,7.96,IN
145,Sørland,67.67,12.69,1604782152,39.87,71,100,15.28,NO
146,Urucará,-2.54,-57.76,1604782246,90.93,52,26,2.17,BR
147,Júlio de Castilhos,-29.23,-53.68,1604782247,84.2,45,0,10.29,BR
148,Narsaq,60.92,-46.05,1604782247,28.4,74,75,3.36,GL
149,Yellowknife,62.46,-114.35,1604781924,12.2,85,90,5.82,CA
150,Polunochnoye,60.87,60.42,1604782247,28.92,97,52,4.74,RU
151,Bafoulabé,13.81,-10.83,1604782247,88.05,16,0,5.84,ML
152,Nyurba,63.28,118.33,1604782247,-6.38,90,14,4.85,RU
153,Tilichiki,60.47,166.1,1604782208,17.65,94,0,7.7,RU
154,Poronaysk,49.22,143.12,1604782248,29.1,94,100,9.48,RU
155,Tucuruí,-3.77,-49.67,1604782248,79.57,84,90,0.54,BR
156,Torbat-e Jām,35.24,60.62,1604782248,51.98,34,81,3.51,IR
157,Caravelas,-17.71,-39.25,1604781928,76.48,84,0,5.82,BR
158,Ocean City,39.28,-74.57,1604782248,75.2,33,1,8.05,US
159,Roebourne,-20.78,117.13,1604782249,71.64,59,0,8.79,AU
160,San Patricio,28.02,-97.52,1604782156,82.99,54,20,12.75,US
161,Barrow,71.29,-156.79,1604782152,30.2,92,90,26.4,US
162,Barra de Tecoanapa,16.52,-98.75,1604782249,84.7,68,89,8.57,MX
163,Fuxin,42.02,121.66,1604782249,30.85,68,0,13.56,CN
164,Avarua,-21.21,-159.78,1604782249,77.0,78,98,5.82,CK
165,Pizarro,4.95,-77.37,1604782250,79.0,75,88,10.22,CO
166,Falam,22.92,93.68,1604782250,53.28,100,1,0.76,MM
167,Laguna,38.42,-121.42,1604782194,61.0,41,1,5.82,US
168,Ancud,-41.87,-73.82,1604781739,64.4,52,0,9.17,CL
169,Pangody,65.85,74.49,1604782172,32.07,99,100,4.23,RU
170,Esperance,-33.87,121.9,1604782077,55.4,100,7,8.05,AU
171,Camaná,-16.62,-72.71,1604782250,65.23,71,79,2.46,PE
172,Erzin,36.96,36.2,1604782250,64.0,51,0,10.0,TR
173,Guangyuan,32.44,105.82,1604782251,57.99,83,0,3.65,CN
174,Dicabisagan,17.08,122.42,1604782251,78.28,87,100,4.41,PH
175,Provideniya,64.38,-173.3,1604781709,28.27,93,12,5.35,RU
176,Lüderitz,-26.65,15.16,1604782160,62.85,86,0,5.12,NA
177,Cherskiy,68.75,161.3,1604782153,4.55,94,100,6.4,RU
178,Barra da Estiva,-13.63,-41.33,1604782251,69.19,81,80,3.89,BR
179,San Cristobal,7.77,-72.22,1604782252,84.2,70,40,11.41,VE
180,Sambava,-14.27,50.17,1604782252,74.79,86,100,10.94,MG
181,Pevek,69.7,170.31,1604781873,16.29,96,99,2.62,RU
182,Tual,-5.67,132.75,1604782252,82.81,69,91,12.41,ID
183,Katsuura,35.13,140.3,1604781749,60.8,77,75,8.05,JP
184,Bandhi,26.59,68.3,1604782252,64.4,77,0,4.7,PK
185,Port-Cartier,50.03,-66.87,1604782252,33.8,55,51,6.93,CA
186,Dikson,73.51,80.55,1604781532,-2.87,89,43,11.3,RU
187,Ambilobe,-13.2,49.05,1604782211,74.35,77,100,4.07,MG
188,Antonina,-25.43,-48.71,1604782048,84.2,25,0,4.7,BR
189,Paamiut,61.99,-49.67,1604782017,28.67,90,100,17.52,GL
190,Ola,59.58,151.28,1604782253,11.19,87,100,14.99,RU
191,Lorengau,-2.02,147.27,1604782157,81.95,69,23,7.61,PG
192,Ponta Delgada,37.73,-25.67,1604782253,59.0,77,20,4.7,PT
193,Plettenberg Bay,-34.05,23.37,1604782166,61.65,73,0,1.63,ZA
194,Murray Bridge,-35.12,139.27,1604782254,48.99,99,0,3.53,AU
195,Yar-Sale,66.83,70.83,1604782192,27.12,99,97,2.91,RU
196,Hamilton,39.18,-84.53,1604781523,73.99,33,1,9.17,US
197,Snyder,32.72,-100.92,1604782217,73.4,46,1,17.22,US
198,Wanaka,-44.7,169.15,1604782197,45.0,77,100,1.01,NZ
199,Muncar,-8.43,114.33,1604782254,74.32,84,11,1.77,ID
200,Ambulu,-8.35,113.61,1604782254,75.33,84,10,2.84,ID
201,Lianran,24.92,102.48,1604782255,57.0,100,40,6.71,CN
202,Dongxing,45.37,130.8,1604782255,28.92,91,100,17.29,CN
203,Carnarvon,-24.87,113.63,1604782167,69.8,77,75,14.99,AU
204,Yulara,-25.24,130.99,1604782197,71.6,15,32,6.93,AU
205,Liwale,-9.77,37.93,1604782255,70.65,80,0,3.89,TZ
206,Linxia Chengguanzhen,35.6,103.21,1604782200,37.72,72,100,1.1,CN
207,Kruisfontein,-34.0,24.73,1604782157,62.01,78,0,4.74,ZA
208,Jalingo,8.88,11.37,1604782256,79.56,33,95,2.73,NG
209,Dakar,14.69,-17.44,1604782017,84.2,74,0,13.87,SN
210,Terrace,54.52,-128.6,1604782157,33.8,69,5,12.75,CA
211,Shirokiy,49.76,129.52,1604782256,21.83,96,100,8.66,RU
212,Sehithwa,-20.47,22.72,1604782256,86.13,27,0,4.99,BW
213,Mangan,27.52,88.53,1604782210,60.85,30,0,5.77,IN
214,Kouroussa,10.65,-9.88,1604782257,79.41,38,0,1.32,GN
215,Kaka,37.35,59.61,1604781754,57.07,37,100,7.36,TM
216,Korsakov,46.63,142.78,1604782257,37.4,93,75,15.66,RU
217,Buala,-8.14,159.59,1604782257,83.01,72,5,3.76,SB
218,Massaguet,12.48,15.44,1604782257,77.0,41,0,4.7,TD
219,Bail-Hongal,15.82,74.87,1604782258,69.55,90,1,6.82,IN
220,Verkhnyaya Inta,65.98,60.31,1604782258,28.94,98,100,8.12,RU
221,Muros,42.78,-9.06,1604782258,60.01,90,22,18.99,ES
222,Husavik,66.04,-17.34,1604782258,46.4,77,75,5.82,IS
223,Barreirinhas,-2.75,-42.83,1604782258,81.81,72,58,12.66,BR
224,Auki,-8.77,160.7,1604782177,82.31,74,22,3.67,SB
225,Muscle Shoals,34.74,-87.67,1604782258,73.4,64,90,11.41,US
226,Ponta do Sol,32.67,-17.1,1604782151,66.2,68,20,3.36,PT
227,Santiago,-33.46,-70.65,1604782043,87.8,19,0,9.17,CL
228,Severobaykal'sk,55.65,109.32,1604782259,13.19,87,100,3.4,RU
229,Sorong,-0.88,131.25,1604782259,80.22,85,100,11.14,ID
230,Petropavlovsk-Kamchatskiy,53.05,158.65,1604781681,19.4,85,46,8.95,RU
231,Nicoya,10.15,-85.45,1604782259,78.8,94,75,4.7,CR
232,Half Moon Bay,37.46,-122.43,1604782171,61.0,62,1,10.29,US
233,Namatanai,-3.67,152.43,1604782260,81.68,72,68,5.01,PG
234,Ashland,40.82,-82.27,1604782260,71.6,35,1,6.93,US
235,Arrondissement de Soissons,49.33,3.33,1604782260,55.0,83,23,6.67,FR
236,Vershino-Darasunskiy,52.35,115.52,1604782260,9.07,86,72,3.13,RU
237,Baykit,61.67,96.37,1604782260,20.7,95,100,2.86,RU
238,Puerto Cabezas,14.04,-83.39,1604782261,91.4,66,40,9.17,NI
239,Mackay,-21.15,149.2,1604782261,77.0,83,90,18.34,AU
240,La Flèche,47.7,-0.08,1604782261,61.0,77,100,9.17,FR
241,Lynn Haven,30.25,-85.65,1604782261,80.6,69,40,10.29,US
242,Santa Maria,-29.68,-53.81,1604782261,84.2,45,0,10.29,BR
243,Saint George,37.1,-113.58,1604781972,59.0,22,75,20.8,US
244,Faya,18.39,42.45,1604782155,62.6,63,0,1.86,SA
245,Faanui,-16.48,-151.75,1604782102,78.93,79,70,12.01,PF
246,Tulsīpur,28.13,82.3,1604782262,59.25,69,0,4.36,NP
247,Doha,25.29,51.53,1604782239,84.0,69,0,2.24,QA
248,Kirakira,-10.45,161.92,1604782203,82.71,75,76,5.59,SB
249,Dingle,11.0,122.67,1604782151,73.4,91,96,0.96,PH
250,Andenes,69.31,16.12,1604782262,37.4,64,100,28.86,NO
251,Geraldton,-28.77,114.6,1604782152,68.0,77,90,8.05,AU
252,Nikolskoye,59.7,30.79,1604782063,48.2,87,90,13.42,RU
253,Tiksi,71.69,128.87,1604782056,-8.05,91,0,1.86,RU
254,Cayenne,4.93,-52.33,1604782180,78.8,100,0,3.36,GF
255,Bay Roberts,47.6,-53.26,1604782263,46.0,88,54,8.99,CA
256,Baião,-2.79,-49.67,1604782263,79.25,86,100,1.01,BR
257,Kazachinskoye,57.7,93.28,1604782263,38.66,93,100,6.4,RU
258,Taltal,-25.4,-70.48,1604782212,63.27,66,24,5.73,CL
259,Nizhniy Chir,48.36,43.09,1604782263,43.11,89,0,12.73,RU
260,Salym,60.06,71.48,1604782263,36.14,97,100,6.85,RU
261,Mount Isa,-20.73,139.5,1604782264,77.0,13,18,10.29,AU
262,Fort Nelson,58.81,-122.7,1604781896,12.2,85,75,4.21,CA
263,Sur,22.57,59.53,1604782209,75.36,76,0,7.58,OM
264,Guerrero Negro,27.98,-114.06,1604782193,70.47,62,42,19.93,MX
265,Sungai Penuh,-2.08,101.38,1604782264,65.46,93,100,3.4,ID
266,Varhaug,58.61,5.65,1604782264,46.0,97,100,6.78,NO
267,Nova Vodolaha,49.72,35.87,1604782265,42.8,93,32,4.47,UA
268,Solnechnyy,50.72,136.63,1604782181,18.95,87,100,6.17,RU
269,Pangnirtung,66.15,-65.71,1604782184,10.4,85,90,9.17,CA
270,Dārāb,28.75,54.54,1604782265,51.91,46,0,2.26,IR
271,Tegul'det,57.31,88.17,1604782265,37.24,81,100,9.98,RU
272,Nago,26.59,127.98,1604782265,73.4,100,1,6.93,JP
273,Kahului,20.89,-156.47,1604781725,84.2,62,40,19.46,US
274,Scarborough,54.28,-0.4,1604782266,44.01,92,0,5.26,GB
275,Sept-Îles,50.2,-66.38,1604781751,33.8,55,35,6.93,CA
276,Kavieng,-2.57,150.8,1604781713,83.16,68,44,7.52,PG
277,Ozerne,50.18,28.73,1604782266,42.48,94,0,5.3,UA
278,Portland,45.52,-122.68,1604781863,46.99,75,75,5.82,US
279,East London,-33.02,27.91,1604781740,69.37,81,0,10.92,ZA
280,Monrovia,6.3,-10.8,1604782266,78.8,94,20,7.54,LR
281,Baoshan,46.56,131.42,1604782266,30.34,90,89,1.72,CN
282,Foumbot,5.51,10.64,1604782267,66.22,87,39,3.33,CM
283,San Jose,37.34,-121.89,1604782183,62.01,41,40,6.93,US
284,Mossamedes,-15.2,12.15,1604781944,70.39,67,28,10.27,AO
285,Carutapera,-1.2,-46.02,1604782209,82.53,72,4,10.58,BR
286,Kaeo,-35.1,173.78,1604781487,71.01,71,31,10.0,NZ
287,Mareeba,-17.0,145.43,1604782267,78.8,78,33,5.82,AU
288,Vaitape,-16.52,-151.75,1604782205,79.77,77,72,11.92,PF
289,Kloulklubed,7.04,134.26,1604782268,77.0,94,90,4.7,PW
290,Hofn,64.25,-15.21,1604782200,41.76,83,100,11.99,IS
291,Aklavik,68.22,-135.01,1604782174,33.8,55,75,4.7,CA
292,Hokitika,-42.72,170.97,1604781689,51.6,77,100,8.75,NZ
293,Bethel,41.37,-73.41,1604782100,73.4,35,1,5.82,US
294,Road Town,18.42,-64.62,1604782138,84.2,74,40,6.93,VG
295,Fortuna,40.6,-124.16,1604782083,55.99,58,1,19.46,US
296,Wajima,37.4,136.9,1604782268,60.21,62,15,16.55,JP
297,Riyadh,24.69,46.72,1604782153,69.8,35,0,3.36,SA
298,Kibakwe,-6.72,36.37,1604782269,66.92,85,35,6.73,TZ
299,Kristinestad,62.27,21.38,1604782269,43.7,66,62,10.27,FI
300,Shitanjing,39.23,106.34,1604782269,36.93,70,0,2.53,CN
301,Buraidah,26.33,43.98,1604782209,68.0,94,75,3.36,SA
302,Hervey Bay,-25.3,152.85,1604781990,72.0,67,3,4.0,AU
303,Tay Ninh,11.3,106.1,1604782269,74.26,93,64,5.7,VN
304,Kaniama,-7.57,24.18,1604782270,67.8,96,94,4.25,CD
305,Goderich,43.75,-81.72,1604781694,64.4,52,100,13.87,CA
306,Mandurah,-32.55,115.7,1604782270,64.0,83,2,6.22,AU
307,Uyar,55.81,94.32,1604782270,38.35,85,94,12.97,RU
308,Vanimo,-2.67,141.3,1604782213,76.15,93,100,8.55,PG
309,Tazovsky,67.47,78.7,1604782270,27.16,99,100,5.95,RU
310,Lata,40.16,-8.33,1604782205,60.01,92,85,1.99,PT
311,Zelenoborsk,61.47,64.03,1604782271,30.22,99,73,4.41,RU
312,Sanski Most,44.77,16.67,1604782271,39.2,100,0,1.61,BA
313,Zhangaözen,43.3,52.8,1604782160,45.21,68,100,9.95,KZ
314,Karaton,-6.34,106.1,1604782271,78.01,94,20,2.24,ID
315,Arrondissement de Saint-Denis,48.92,2.33,1604781747,57.2,87,0,4.7,FR
316,Sioux Lookout,50.1,-91.92,1604782179,32.0,81,90,6.93,CA
317,Hirara,24.8,125.28,1604782271,77.94,88,0,11.07,JP
318,Kananga,-5.9,22.42,1604782271,69.31,97,93,1.66,CD
319,Verkhnevilyuysk,63.45,120.32,1604782271,-5.87,91,89,4.38,RU
320,Luangwa,-15.62,30.42,1604782272,86.11,22,0,4.43,ZM
321,Mukhen,48.1,136.1,1604782176,25.65,98,97,2.89,RU
322,Lampazos de Naranjo,27.02,-100.52,1604782272,81.54,38,0,11.65,MX
323,Ouadda,8.08,22.4,1604782272,70.75,60,4,1.34,CF
324,Bakel,14.9,-12.46,1604782272,91.81,17,27,7.52,SN
325,Tiarei,-17.53,-149.33,1604782272,84.2,66,75,12.75,PF
326,Abu Samrah,35.3,37.18,1604782272,61.63,63,0,6.69,SY
327,Kuytun,54.34,101.5,1604782272,33.87,92,100,6.46,RU
328,Yaring,6.87,101.37,1604782272,78.04,83,58,2.04,TH
329,Alofi,-19.06,-169.92,1604782178,77.0,78,75,12.75,NU
330,Richland,40.78,-82.55,1604782149,71.6,35,1,6.93,US
331,Ostrovnoy,68.05,39.51,1604782273,35.24,86,100,20.07,RU
332,Nouadhibou,20.93,-17.03,1604782070,71.6,73,67,16.11,MR
333,Broken Hill,-31.95,141.43,1604782175,57.2,41,0,10.29,AU
334,Talcahuano,-36.72,-73.12,1604782210,66.2,55,0,21.92,CL
335,Témiscaming,46.72,-79.1,1604782273,64.4,63,100,6.93,CA
336,Ilulissat,69.22,-51.1,1604782149,10.4,66,20,5.82,GL
337,Nanortalik,60.14,-45.24,1604782199,32.47,90,100,7.54,GL
338,Boguchany,58.38,97.45,1604782274,36.39,93,100,6.11,RU
339,Vilhena,-12.74,-60.15,1604782274,91.4,43,75,6.93,BR
340,St. George's,12.06,-61.75,1604782154,84.2,83,40,16.11,GD
341,Batticaloa,7.71,81.69,1604782274,79.23,83,14,3.06,LK
342,Petrila,45.45,23.42,1604782274,37.4,100,100,3.0,RO
343,Thio,-21.62,166.22,1604782274,77.0,73,11,3.36,NC
344,Owando,-0.48,15.9,1604782275,72.9,92,72,2.3,CG
345,Mossendjo,-2.95,12.73,1604782275,70.79,99,77,3.33,CG
346,Taitung City,22.76,121.14,1604782275,76.28,76,32,7.94,TW
347,Matara,5.95,80.54,1604782275,77.05,87,0,5.66,LK
348,Vanavara,60.34,102.28,1604782275,14.09,97,100,3.29,RU
349,Padang,-0.95,100.35,1604782275,77.88,78,100,3.49,ID
350,Pemangkat,1.17,108.97,1604782275,77.13,89,100,5.59,ID
351,Tomé,-36.62,-72.95,1604782276,66.2,55,0,21.92,CL
352,Novoanninskiy,50.53,42.67,1604782276,42.01,83,8,5.01,RU
353,Nesterovskaya,43.24,45.05,1604782276,46.4,81,100,6.71,RU
354,Mahébourg,-20.41,57.7,1604782158,73.4,78,40,6.93,MU
355,Beatrice,40.27,-96.75,1604782276,75.2,47,1,26.4,US
356,Strezhevoy,60.73,77.59,1604782276,33.8,80,90,6.71,RU
357,Vardø,70.37,31.11,1604782276,39.85,73,95,31.09,NO
358,Teluk Nibung,3.0,99.82,1604782276,77.07,91,100,4.25,ID
359,Bouna,9.27,-3.0,1604782277,79.02,33,79,2.1,CI
360,Nador,35.17,-2.93,1604782277,62.6,82,0,3.69,MA
361,Zeya,53.75,127.27,1604782277,12.76,84,59,7.87,RU
362,Rocha,-34.48,-54.33,1604782277,66.65,75,24,9.42,UY
363,Vao,-22.67,167.48,1604782001,73.31,73,73,11.32,NC
364,Taoudenni,22.68,-3.98,1604782277,85.95,14,62,11.12,ML
365,Beringovskiy,63.05,179.32,1604782277,28.6,89,34,7.65,RU
366,Zhezkazgan,47.8,67.71,1604782278,50.45,38,82,14.85,KZ
367,Bilma,18.69,12.92,1604782278,71.24,28,0,11.95,NE
368,Noyabrsk,63.2,75.45,1604782278,33.53,97,100,12.75,RU
369,Mount Gambier,-37.83,140.77,1604781750,39.2,93,0,4.7,AU
370,Okhotsk,59.38,143.3,1604782278,10.44,89,94,14.81,RU
371,Konakovo,56.7,36.77,1604782278,42.8,91,2,10.2,RU
372,Shingū,33.73,135.98,1604782174,61.79,88,100,4.92,JP
